Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-04-01 11:22:21,false,"San Francisco Running","14.02","1,657","1:33:37","--","--","0.0","181","219","6:41","4:53","507","540","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-31 11:47:20,false,"San Francisco Running","8.43","990","57:05","--","--","0.0","180","196","6:46","4:54","270","297","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-30 18:26:39,false,"Santa Clara County Running","4.38","513","33:13","--","--","0.0","174","204","7:35","1:55","39","39","1.22","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-30 16:57:34,false,"Santa Clara County Running","2.56","303","18:21","--","--","0.0","179","188","7:10","6:01","13","13","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-30 12:39:29,false,"San Francisco Running","1.27","149","8:56.1","--","--","0.0","179","193","7:02","4:49","87","53","1.28","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-29 07:39:37,false,"San Francisco Running","5.43","625","36:35","--","--","0.0","179","215","6:44","3:59","106","138","1.33","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-28 08:04:07,false,"San Francisco Running","7.47","871","48:41","--","--","0.0","182","204","6:31","5:24","304","329","1.36","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-27 07:45:20,false,"San Francisco Running","4.54","489","30:35","--","--","0.0","165","222","6:45","3:40","112","80","1.45","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-27 07:10:16,false,"San Francisco Running","2.59","302","18:50","--","--","0.0","179","192","7:16","5:56","48","85","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-26 16:45:43,false,"San Francisco Running","4.37","514","30:06","--","--","0.0","181","209","6:54","1:58","78","101","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-03-26 08:11:36,false,"San Francisco Running","0.75","71","5:23.9","--","--","0.0","152","230","7:14","3:23","--","6","1.52","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
